"file","site","plot","date","np_diversity"
"ABBY_001.basePlot.bgc_220613","ABBY","001.basePlot.bgc","220613",22.3129136692197
"ABBY_002.basePlot.bgc_220615","ABBY","002.basePlot.bgc","220615",21.873226268664
"ABBY_003.basePlot.bgc_220614","ABBY","003.basePlot.bgc","220614",22.074446896675
"ABBY_004.basePlot.bgc_220615","ABBY","004.basePlot.bgc","220615",22.0055140773246
"ABBY_006.basePlot.bgc_220615","ABBY","006.basePlot.bgc","220615",22.4272372486628
"ABBY_023.basePlot.bgc_220614","ABBY","023.basePlot.bgc","220614",21.9616288127165
"ABBY_061.basePlot.bgc_220613","ABBY","061.basePlot.bgc","220613",21.6486015927352
"ABBY_062.basePlot.bgc_220613","ABBY","062.basePlot.bgc","220613",22.0119898760932
"ABBY_063.basePlot.bgc_220613","ABBY","063.basePlot.bgc","220613",22.1105762636895
"ABBY_070.basePlot.bgc_220615","ABBY","070.basePlot.bgc","220615",23.4408794719025
"BARR_001.basePlot.bgc_220828","BARR","001.basePlot.bgc","220828",20.7318293999908
"BARR_002.basePlot.bgc_220825","BARR","002.basePlot.bgc","220825",22.0633287346174
"BARR_003.basePlot.bgc_220826","BARR","003.basePlot.bgc","220826",22.6249928349631
"BARR_004.basePlot.bgc_220826","BARR","004.basePlot.bgc","220826",22.5568232232613
"BARR_006.basePlot.bgc_220826","BARR","006.basePlot.bgc","220826",21.8605337587939
"BARR_051.basePlot.bgc_220824","BARR","051.basePlot.bgc","220824",22.1125080983234
"BARR_052.basePlot.bgc_220824","BARR","052.basePlot.bgc","220824",22.4638266665524
"BARR_053.basePlot.bgc_220825","BARR","053.basePlot.bgc","220825",21.2425366844211
"BARR_054.basePlot.bgc_220824","BARR","054.basePlot.bgc","220824",22.1349646664338
"BART_001.basePlot.bgc_220608","BART","001.basePlot.bgc","220608",22.2593919863552
"BART_002.basePlot.bgc_220608","BART","002.basePlot.bgc","220608",22.1405974334419
"BART_003.basePlot.bgc_220607","BART","003.basePlot.bgc","220607",22.1674021700648
"BART_004.basePlot.bgc_220607","BART","004.basePlot.bgc","220607",21.9633103328091
"BART_005.basePlot.bgc_220607","BART","005.basePlot.bgc","220607",21.5482606911225
"BART_023.basePlot.bgc_220607","BART","023.basePlot.bgc","220607",22.0432311303138
"BART_036.basePlot.bgc_220606","BART","036.basePlot.bgc","220606",21.8759871023249
"BART_040.basePlot.bgc_220606","BART","040.basePlot.bgc","220606",21.9731140510879
"BART_042.basePlot.bgc_220606","BART","042.basePlot.bgc","220606",22.308984085098
"BART_071.basePlot.bgc_220606","BART","071.basePlot.bgc","220606",22.1597527932378
"BONA_001.basePlot.bgc_220701","BONA","001.basePlot.bgc","220701",22.0162315612258
"BONA_002.basePlot.bgc_220629","BONA","002.basePlot.bgc","220629",21.7511294649118
"BONA_004.basePlot.bgc_220708","BONA","004.basePlot.bgc","220708",21.8077633650551
"BONA_006.basePlot.bgc_220701","BONA","006.basePlot.bgc","220701",22.2518136296846
"BONA_009.basePlot.bgc_220629","BONA","009.basePlot.bgc","220629",22.594086149016
"BONA_013.basePlot.bgc_220708","BONA","013.basePlot.bgc","220708",22.7656177860617
"BONA_070.basePlot.bgc_220708","BONA","070.basePlot.bgc","220708",23.3305853115449
"BONA_071.basePlot.bgc_220702","BONA","071.basePlot.bgc","220702",21.9364148420639
"BONA_080.basePlot.bgc_220701","BONA","080.basePlot.bgc","220701",22.7637673893779
"BONA_084.basePlot.bgc_220701","BONA","084.basePlot.bgc","220701",23.373864882011
"CLBJ_001.basePlot.bgc_220425","CLBJ","001.basePlot.bgc","220425",20.7867603541945
"CLBJ_002.basePlot.bgc_220426","CLBJ","002.basePlot.bgc","220426",22.3631376342999
"CLBJ_003.basePlot.bgc_220426","CLBJ","003.basePlot.bgc","220426",21.2301235839068
"CLBJ_006.basePlot.bgc_220425","CLBJ","006.basePlot.bgc","220425",21.5266282233557
