;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99;ID100;ID101;ID102;ID103;ID104;ID105;ID106;ID107;ID108;ID109;ID110;ID111;ID112;ID113;ID114;ID115;ID116;ID117;ID118;ID119;ID120;ID121;ID122;ID123;ID124;ID125;ID126;ID127;ID128;ID129;ID130;ID131;ID132;ID133;ID134;ID135;ID136;ID137;ID138;ID139;ID140;ID141;ID142;ID143;ID144;ID145;ID146;ID147;ID148;ID149;ID150;ID151;ID152;ID153;ID154;ID155;ID156;ID157;ID158;ID159;ID160;ID161;ID162;ID163;ID164;ID165;ID166;ID167;ID168;ID169;ID170;ID171;ID172;ID173;ID174;ID175;ID176;ID177;ID178;ID179;ID180;ID181;ID182;ID183;ID184;ID185;ID186;ID187;ID188;ID189;ID190;ID191;ID192;ID193;ID194;ID195;ID196;ID197;ID198;ID199;ID200;ID201;ID202;ID203;ID204;ID205;ID206;ID207;ID208;ID209;ID210;ID211;ID212;ID213;ID214;ID215;ID216;ID217;ID218;ID219;ID220;ID221;ID222;ID223;ID224;ID225;ID226;ID227;ID228;ID229;ID230;ID231;ID232;ID233;ID234;ID235;ID236;ID237;ID238;ID239;ID240;ID241;ID242;ID243;ID244;ID245;ID246
ID1;0.000000;0.983609;0.984565;0.984977;0.996926;0.982727;0.982428;0.987048;0.994513;0.993762;0.997936;0.995692;0.998583;0.995253;0.997966;0.996461;0.997129;0.998376;0.997685;0.996128;0.995079;0.992818;0.993981;0.996457;0.995824;0.994784;0.993905;0.994647;0.995095;0.996968;0.997357;0.997391;0.997172;0.997512;0.997267;0.997642;0.997065;0.997956;0.997183;0.994264;0.996570;0.995885;0.994397;0.994643;0.995048;0.997057;0.996247;0.996124;0.996665;0.997583;0.997423;0.997183;0.997097;0.996785;0.997187;0.997490;0.997344;0.997273;0.997256;0.997550;0.997271;0.997232;0.997540;0.997497;0.997244;0.996049;0.997335;0.996124;0.996906;0.997264;0.997078;0.997231;0.997405;0.997580;0.997726;0.997637;0.997729;0.996921;0.997669;0.997763;0.997697;0.997648;0.997677;0.997696;0.997652;0.995069;0.996870;0.994101;0.997068;0.995457;0.995490;0.996398;0.996748;0.997603;0.997548;0.997449;0.997570;0.997496;0.997630;0.997511;0.997591;0.997623;0.997583;0.996932;0.997058;0.994942;0.993954;0.997021;0.995773;0.996406;0.994642;0.997539;0.997592;0.997553;0.997481;0.997517;0.997592;0.997550;0.997720;0.997569;0.997566;0.997194;0.994230;0.994722;0.993222;0.993430;0.993965;0.997412;0.995152;0.992038;0.994222;0.997153;0.996481;0.996682;0.995982;0.997677;0.996794;0.996090;0.996458;0.996404;0.996213;0.994861;0.994108;0.995470;0.994430;0.993600;0.996669;0.996275;0.994282;0.995674;0.994846;0.995081;0.994782;0.994719;0.994987;0.994410;0.995926;0.995212;0.995168;0.994980;0.995828;0.997025;0.997077;0.997014;0.996963;0.997014;0.997011;0.996960;0.996986;0.997032;0.997074;0.997211;0.997310;0.997356;0.997547;0.997085;0.997336;0.997685;0.997710;0.997585;0.997772;0.991988;0.991773;0.993043;0.991674;0.991163;0.996477;0.991735;0.991296;0.991793;0.995134;0.997167;0.997603;0.997284;0.997297;0.997196;0.997147;0.997441;0.997174;0.997275;0.997244;0.995893;0.994900;0.994422;0.994667;0.994428;0.994506;0.995237;0.994666;0.994763;0.994102;0.996805;0.995826;0.998290;0.995939;0.995190;0.996543;0.996166;0.994884;0.996898;0.995215;0.995814;0.997501;0.997309;0.991919;0.992448;0.992628;0.992637;0.996776;0.995169;0.995509;0.996635;0.996880;0.997143;0.996880;0.996599;0.997637;0.995665;0.996747;0.997088;0.997384;0.995956;0.997019;0.997262;0.991185;0.996643
ID2;0.983609;0.000000;0.983861;0.984792;0.996711;0.982144;0.979784;0.985593;0.993971;0.993199;0.997886;0.995310;0.998562;0.994782;0.997891;0.996230;0.996898;0.998347;0.997546;0.995657;0.994327;0.991534;0.992780;0.996144;0.995369;0.994201;0.992935;0.994025;0.994322;0.996632;0.997076;0.997044;0.996844;0.997327;0.996988;0.997388;0.996586;0.997744;0.996991;0.995342;0.996904;0.996153;0.995166;0.995147;0.995720;0.997300;0.996529;0.996531;0.996985;0.997868;0.997705;0.997538;0.997350;0.997099;0.997471;0.997649;0.997520;0.997482;0.997492;0.997742;0.997438;0.997464;0.997722;0.997681;0.997467;0.995513;0.997124;0.995753;0.996586;0.997142;0.996800;0.997024;0.997114;0.997378;0.997631;0.997870;0.997963;0.997199;0.997886;0.997964;0.997901;0.997955;0.997855;0.997892;0.997876;0.995745;0.997187;0.995144;0.997410;0.996075;0.996110;0.996740;0.997169;0.997807;0.997803;0.997724;0.997793;0.997792;0.997852;0.997771;0.997831;0.997849;0.997803;0.996549;0.996663;0.994718;0.992648;0.996746;0.995740;0.996201;0.994287;0.997853;0.997871;0.997794;0.997742;0.997734;0.997831;0.997795;0.997947;0.997790;0.997816;0.997001;0.993748;0.995074;0.991865;0.993224;0.994412;0.997263;0.994506;0.991497;0.993231;0.997020;0.996255;0.996466;0.995996;0.997582;0.996976;0.995933;0.996099;0.996351;0.995998;0.994668;0.993560;0.995134;0.993988;0.992961;0.996523;0.996124;0.993808;0.995535;0.994663;0.995277;0.994785;0.994878;0.995407;0.994500;0.996137;0.995301;0.995533;0.995122;0.996053;0.997180;0.997244;0.997064;0.997102;0.997278;0.997237;0.997191;0.997250;0.997216;0.997282;0.997494;0.997587;0.997563;0.997738;0.997389;0.997606;0.997930;0.997887;0.997821;0.997963;0.992002;0.991615;0.992431;0.991296;0.990020;0.996586;0.990660;0.989334;0.990278;0.994604;0.997406;0.997837;0.997506;0.997632;0.997460;0.997422;0.997673;0.997428;0.997554;0.997581;0.995481;0.994946;0.994738;0.994088;0.994137;0.994577;0.994976;0.994435;0.994301;0.993743;0.996521;0.995544;0.998404;0.995583;0.994674;0.996288;0.995751;0.994177;0.996623;0.994667;0.995444;0.997289;0.997444;0.991244;0.991195;0.991424;0.991536;0.996505;0.994790;0.995046;0.996978;0.997192;0.997425;0.997173;0.996939;0.997796;0.995964;0.997052;0.997349;0.997627;0.995600;0.996535;0.996997;0.990256;0.996277
ID3;0.984565;0.983861;0.000000;0.984812;0.996836;0.982284;0.983109;0.987216;0.994685;0.993527;0.997885;0.995493;0.998534;0.995000;0.997881;0.996356;0.997006;0.998295;0.997584;0.995956;0.995079;0.992503;0.993822;0.996400;0.995730;0.995007;0.993929;0.994578;0.995120;0.996780;0.997197;0.997222;0.996945;0.997394;0.997106;0.997476;0.996798;0.997910;0.997052;0.994517;0.996575;0.995937;0.994618;0.994715;0.995157;0.997072;0.996255;0.996198;0.996685;0.997645;0.997506;0.997301;0.997060;0.996802;0.997200;0.997528;0.997328;0.997283;0.997292;0.997568;0.997221;0.997239;0.997562;0.997508;0.997284;0.995834;0.997279;0.996090;0.996770;0.997237;0.996973;0.997163;0.997311;0.997546;0.997642;0.997681;0.997799;0.996964;0.997739;0.997803;0.997715;0.997750;0.997660;0.997736;0.997699;0.995055;0.996897;0.994227;0.997117;0.995583;0.995592;0.996417;0.996779;0.997637;0.997635;0.997515;0.997614;0.997597;0.997682;0.997582;0.997658;0.997706;0.997646;0.996733;0.996844;0.994667;0.993813;0.996841;0.995555;0.996175;0.994457;0.997638;0.997673;0.997609;0.997532;0.997549;0.997662;0.997627;0.997753;0.997606;0.997601;0.997126;0.994218;0.994626;0.993420;0.993379;0.994173;0.997302;0.995081;0.992121;0.994315;0.996997;0.996523;0.996638;0.996093;0.997647;0.996926;0.996134;0.996383;0.996421;0.996214;0.994676;0.993884;0.995380;0.994246;0.993345;0.996608;0.996177;0.994076;0.995550;0.994779;0.994996;0.994723;0.994560;0.994656;0.994434;0.995811;0.995084;0.995194;0.994883;0.995755;0.997037;0.997088;0.996934;0.996987;0.997093;0.997035;0.996970;0.997075;0.997107;0.997097;0.997294;0.997333;0.997362;0.997588;0.997131;0.997388;0.997732;0.997741;0.997575;0.997813;0.991766;0.991867;0.992922;0.991350;0.991107;0.996394;0.991626;0.991069;0.991799;0.995091;0.997239;0.997673;0.997292;0.997438;0.997204;0.997167;0.997483;0.997170;0.997331;0.997338;0.995829;0.995022;0.994504;0.994687;0.994336;0.994701;0.995265;0.994679;0.994746;0.994231;0.996723;0.995586;0.998333;0.995866;0.995091;0.996374;0.995907;0.994637;0.996761;0.995062;0.995718;0.997472;0.997344;0.991713;0.992198;0.992526;0.992648;0.996693;0.995115;0.995406;0.996648;0.996892;0.997189;0.996846;0.996560;0.997685;0.995536;0.996772;0.997119;0.997419;0.995781;0.996836;0.997157;0.991156;0.996534
ID4;0.984977;0.984792;0.984812;0.000000;0.996850;0.983063;0.983539;0.988026;0.994629;0.993810;0.997801;0.995363;0.998456;0.994761;0.997790;0.996213;0.996875;0.998213;0.997508;0.996055;0.995042;0.992923;0.994115;0.996552;0.995807;0.994978;0.994163;0.994611;0.995075;0.996728;0.997121;0.997184;0.996978;0.997291;0.997083;0.997442;0.996758;0.997766;0.996917;0.993973;0.996184;0.995551;0.994081;0.994428;0.994608;0.996682;0.995878;0.995767;0.996239;0.997239;0.997080;0.996833;0.996687;0.996396;0.996889;0.997149;0.996985;0.996949;0.996915;0.997161;0.996862;0.996902;0.997208;0.997162;0.996929;0.995644;0.997173;0.996003;0.996732;0.997093;0.996971;0.997144;0.997253;0.997367;0.997540;0.997269;0.997453;0.996596;0.997369;0.997468;0.997379;0.997364;0.997367;0.997374;0.997337;0.994682;0.996478;0.993866;0.996769;0.995227;0.995129;0.995990;0.996420;0.997266;0.997248;0.997083;0.997258;0.997184;0.997299;0.997221;0.997310;0.997373;0.997267;0.996616;0.996647;0.994244;0.993969;0.996609;0.995044;0.995932;0.994062;0.997236;0.997302;0.997220;0.997124;0.997192;0.997300;0.997223;0.997355;0.997245;0.997199;0.996994;0.994253;0.994258;0.993364;0.993145;0.993745;0.997203;0.994925;0.991885;0.994216;0.996942;0.996362;0.996549;0.995848;0.997578;0.996583;0.995969;0.996265;0.996276;0.996093;0.994858;0.994339;0.995711;0.994610;0.993908;0.996763;0.996388;0.994516;0.995770;0.995060;0.994404;0.994296;0.994042;0.994187;0.993926;0.995321;0.994459;0.994723;0.994300;0.995270;0.996673;0.996685;0.996682;0.996669;0.996674;0.996638;0.996588;0.996633;0.996698;0.996690;0.996838;0.996963;0.996978;0.997202;0.996731;0.997006;0.997357;0.997369;0.997258;0.997462;0.991794;0.991987;0.993009;0.991781;0.991898;0.996137;0.991995;0.991919;0.992555;0.995220;0.996795;0.997324;0.996918;0.997053;0.996880;0.996786;0.997117;0.996756;0.996936;0.996947;0.995897;0.994813;0.994280;0.994603;0.994036;0.994430;0.995027;0.994555;0.994772;0.993972;0.996703;0.995494;0.998157;0.995771;0.995096;0.996276;0.995966;0.994755;0.996817;0.995029;0.995704;0.997383;0.997063;0.992157;0.992787;0.992855;0.992948;0.996818;0.995228;0.995591;0.996222;0.996503;0.996814;0.996374;0.996144;0.997402;0.995119;0.996273;0.996724;0.997098;0.995833;0.996782;0.997096;0.991447;0.996584
ID5;0.996926;0.996711;0.996836;0.996850;0.000000;0.996783;0.996768;0.996405;0.995388;0.995555;0.997890;0.996995;0.998232;0.997345;0.998126;0.996994;0.997626;0.998505;0.997914;0.996263;0.995961;0.996113;0.996290;0.995702;0.995750;0.996204;0.996035;0.996024;0.996008;0.996274;0.997120;0.997181;0.996817;0.997505;0.996770;0.997228;0.996841;0.997247;0.997056;0.997288;0.997521;0.997234;0.997144;0.996941;0.997108;0.997656;0.997398;0.997446;0.997710;0.998014;0.997960;0.998004;0.997744;0.997721;0.997829;0.997866;0.997863;0.997419;0.997508;0.997956;0.997806;0.997857;0.998088;0.997897;0.997913;0.995898;0.996597;0.995999;0.995800;0.996414;0.995994;0.996310;0.996077;0.996446;0.996323;0.997960;0.998034;0.997447;0.997853;0.998000;0.998014;0.998103;0.997901;0.997872;0.997977;0.997290;0.997646;0.997538;0.997783;0.997598;0.997659;0.997634;0.998167;0.997794;0.997784;0.997638;0.997661;0.997658;0.997843;0.997713;0.997774;0.997818;0.997806;0.996598;0.996857;0.997391;0.997109;0.996830;0.997387;0.996838;0.996929;0.997841;0.997854;0.997808;0.997666;0.997567;0.997852;0.997686;0.997952;0.997900;0.997892;0.996299;0.996700;0.997281;0.996866;0.997101;0.997270;0.996312;0.996665;0.996841;0.996861;0.996586;0.997350;0.996719;0.997430;0.997206;0.997658;0.997024;0.997183;0.996458;0.997486;0.996747;0.996400;0.996758;0.996376;0.996241;0.996958;0.996374;0.996628;0.996546;0.996402;0.997649;0.997579;0.997586;0.997588;0.997793;0.997766;0.997345;0.997850;0.997649;0.997641;0.997270;0.997409;0.997319;0.997060;0.997777;0.997390;0.997436;0.997398;0.997404;0.997281;0.997757;0.997615;0.997601;0.997700;0.997251;0.997686;0.997682;0.997929;0.997580;0.998093;0.996686;0.996825;0.996605;0.996377;0.996156;0.997278;0.996367;0.996399;0.996421;0.996137;0.997640;0.998011;0.997889;0.997918;0.997768;0.997810;0.997820;0.997760;0.997753;0.997797;0.997319;0.997055;0.997261;0.997007;0.996680;0.997134;0.997153;0.997315;0.997262;0.997054;0.997390;0.997069;0.998577;0.996897;0.997373;0.997138;0.996808;0.996920;0.997235;0.997256;0.996126;0.996837;0.997710;0.996363;0.996456;0.996283;0.996486;0.996802;0.996726;0.995251;0.997892;0.997778;0.997920;0.997665;0.997477;0.997670;0.997461;0.997782;0.997833;0.998091;0.996090;0.996348;0.996386;0.995973;0.995495
ID6;0.982727;0.982144;0.982284;0.983063;0.996783;0.000000;0.981098;0.985870;0.994205;0.993453;0.997906;0.995668;0.998559;0.995114;0.997899;0.996449;0.996962;0.998271;0.997568;0.995947;0.995017;0.992299;0.993750;0.996242;0.995627;0.994800;0.993661;0.994494;0.994951;0.996818;0.997278;0.997293;0.996976;0.997487;0.997132;0.997544;0.996843;0.997843;0.997149;0.993807;0.996580;0.995790;0.994063;0.994378;0.994798;0.997060;0.996297;0.996132;0.996668;0.997712;0.997579;0.997223;0.997076;0.996776;0.997238;0.997526;0.997333;0.997311;0.997356;0.997595;0.997224;0.997275;0.997589;0.997520;0.997198;0.995877;0.997254;0.995934;0.996720;0.997156;0.996911;0.997125;0.997267;0.997446;0.997605;0.997726;0.997812;0.997082;0.997722;0.997840;0.997756;0.997830;0.997741;0.997741;0.997758;0.994644;0.996868;0.993561;0.997177;0.995328;0.995190;0.996350;0.996711;0.997666;0.997616;0.997561;0.997635;0.997647;0.997730;0.997621;0.997689;0.997740;0.997645;0.996778;0.996899;0.994538;0.993987;0.996967;0.995675;0.996422;0.994485;0.997666;0.997735;0.997661;0.997603;0.997614;0.997698;0.997646;0.997801;0.997638;0.997683;0.996999;0.993878;0.994506;0.992976;0.992966;0.993632;0.997334;0.994985;0.991272;0.994050;0.996970;0.996394;0.996483;0.995890;0.997538;0.996948;0.995941;0.996259;0.996428;0.995975;0.994403;0.993538;0.994999;0.994027;0.993041;0.996517;0.996028;0.993910;0.995364;0.994278;0.994735;0.994547;0.994350;0.994685;0.994192;0.995733;0.994952;0.994982;0.994700;0.995673;0.997088;0.997195;0.996958;0.997013;0.997056;0.997144;0.997069;0.997145;0.997190;0.997218;0.997285;0.997381;0.997423;0.997603;0.997147;0.997461;0.997793;0.997777;0.997656;0.997825;0.991372;0.991138;0.992681;0.991033;0.990582;0.996400;0.991050;0.990730;0.991327;0.994907;0.997244;0.997698;0.997277;0.997478;0.997245;0.997142;0.997524;0.997216;0.997355;0.997354;0.995584;0.994678;0.993980;0.994553;0.993989;0.994238;0.995031;0.994379;0.994575;0.993652;0.996641;0.995786;0.998379;0.995969;0.995135;0.996433;0.995936;0.994537;0.996801;0.994969;0.995517;0.997407;0.997393;0.991156;0.992050;0.992371;0.992400;0.996587;0.994993;0.995185;0.996553;0.996804;0.997194;0.996865;0.996493;0.997712;0.995407;0.996702;0.997166;0.997473;0.995795;0.996843;0.997148;0.990711;0.996439
ID7;0.982428;0.979784;0.983109;0.983539;0.996768;0.981098;0.000000;0.986315;0.993919;0.992957;0.997875;0.995030;0.998545;0.994523;0.997792;0.996091;0.996777;0.998338;0.997480;0.995578;0.994242;0.991513;0.992800;0.996386;0.995483;0.994025;0.993101;0.993833;0.993931;0.996382;0.996689;0.996765;0.996680;0.997179;0.996734;0.997231;0.996258;0.997607;0.996809;0.993776;0.996630;0.995740;0.993820;0.993848;0.994734;0.997185;0.996286;0.996051;0.996693;0.997749;0.997600;0.997307;0.997158;0.996856;0.997303;0.997637;0.997362;0.997370;0.997437;0.997693;0.997292;0.997314;0.997673;0.997610;0.997310;0.995180;0.996952;0.995688;0.996524;0.997026;0.996741;0.996985;0.997213;0.997355;0.997600;0.997830;0.997922;0.997023;0.997811;0.997920;0.997855;0.997841;0.997838;0.997834;0.997803;0.994967;0.997039;0.993944;0.997325;0.995445;0.995493;0.996470;0.996803;0.997792;0.997770;0.997665;0.997775;0.997737;0.997840;0.997720;0.997782;0.997823;0.997732;0.996198;0.996367;0.994272;0.992570;0.996406;0.995658;0.995632;0.994066;0.997777;0.997809;0.997752;0.997661;0.997680;0.997805;0.997788;0.997941;0.997800;0.997741;0.996980;0.993114;0.994467;0.991089;0.992565;0.993163;0.997171;0.994074;0.990297;0.992734;0.996988;0.996000;0.996381;0.995474;0.997624;0.996677;0.995613;0.995901;0.996192;0.995613;0.994724;0.994009;0.995248;0.994288;0.993366;0.996677;0.996274;0.994136;0.995523;0.994746;0.994880;0.994357;0.994592;0.994796;0.993829;0.995849;0.995077;0.994757;0.994679;0.995811;0.997091;0.997198;0.996963;0.996994;0.997112;0.997107;0.997070;0.997179;0.997154;0.997218;0.997379;0.997466;0.997458;0.997710;0.997217;0.997535;0.997912;0.997857;0.997758;0.997950;0.991786;0.991528;0.992211;0.991121;0.990161;0.996625;0.990724;0.989716;0.990561;0.994459;0.997259;0.997765;0.997381;0.997499;0.997324;0.997237;0.997581;0.997265;0.997402;0.997394;0.995246;0.994309;0.993700;0.993502;0.993430;0.993664;0.994371;0.993518;0.993831;0.992618;0.996651;0.995392;0.998333;0.995431;0.994710;0.996214;0.995839;0.994367;0.996573;0.994802;0.995436;0.997326;0.997455;0.991467;0.991273;0.991478;0.991358;0.996601;0.994995;0.995269;0.996753;0.997043;0.997269;0.996964;0.996619;0.997803;0.995699;0.996851;0.997142;0.997538;0.995324;0.996271;0.996791;0.989839;0.996289
ID8;0.987048;0.985593;0.987216;0.988026;0.996405;0.985870;0.986315;0.000000;0.994455;0.993869;0.997875;0.995830;0.998413;0.995635;0.997911;0.996386;0.996969;0.998274;0.997538;0.995897;0.995130;0.993246;0.994153;0.995836;0.995329;0.994942;0.993982;0.994595;0.995184;0.996647;0.997106;0.997230;0.996842;0.997379;0.996961;0.997401;0.996898;0.997624;0.997064;0.995024;0.996721;0.996004;0.994972;0.995025;0.995519;0.997051;0.996417;0.996362;0.996826;0.997565;0.997437;0.997268;0.997106;0.996855;0.997185;0.997440;0.997259;0.997216;0.997210;0.997494;0.997211;0.997228;0.997527;0.997428;0.997292;0.995752;0.996953;0.995899;0.996335;0.996843;0.996453;0.996799;0.996821;0.997081;0.997214;0.997575;0.997671;0.996937;0.997563;0.997693;0.997630;0.997668;0.997574;0.997585;0.997588;0.995572;0.996964;0.995024;0.997149;0.995988;0.996021;0.996629;0.996998;0.997557;0.997486;0.997421;0.997514;0.997514;0.997599;0.997489;0.997575;0.997613;0.997532;0.996655;0.996809;0.995340;0.994501;0.996813;0.996028;0.996302;0.994994;0.997542;0.997580;0.997524;0.997421;0.997454;0.997575;0.997496;0.997693;0.997538;0.997553;0.996735;0.994500;0.995296;0.994066;0.994184;0.994780;0.997030;0.995389;0.993222;0.994680;0.996524;0.996480;0.996346;0.996177;0.997158;0.996896;0.996134;0.996290;0.996270;0.996287;0.994964;0.994151;0.995415;0.994453;0.993737;0.996433;0.995825;0.994446;0.995432;0.994825;0.995510;0.995347;0.995390;0.995473;0.995187;0.996232;0.995678;0.995708;0.995510;0.996226;0.996924;0.997001;0.996887;0.996813;0.997071;0.996971;0.996983;0.996992;0.997028;0.997039;0.997214;0.997254;0.997225;0.997455;0.997018;0.997256;0.997644;0.997636;0.997490;0.997702;0.992977;0.992861;0.993723;0.992557;0.992152;0.996467;0.992484;0.992363;0.992727;0.994922;0.997117;0.997616;0.997312;0.997397;0.997220;0.997145;0.997404;0.997152;0.997266;0.997275;0.995937;0.995299;0.994824;0.995122;0.994807;0.995027;0.995551;0.995107;0.995222;0.994641;0.996718;0.995994;0.998305;0.996045;0.995510;0.996428;0.996159;0.995038;0.996768;0.995434;0.995568;0.997192;0.997307;0.992696;0.993138;0.993337;0.993434;0.996469;0.995322;0.995040;0.996832;0.996976;0.997233;0.996929;0.996727;0.997583;0.995973;0.996847;0.997153;0.997469;0.995740;0.996700;0.996923;0.991745;0.995891
ID9;0.994513;0.993971;0.994685;0.994629;0.995388;0.994205;0.993919;0.994455;0.000000;0.995268;0.998036;0.996707;0.998446;0.996840;0.998067;0.996714;0.997200;0.998378;0.997668;0.995525;0.995838;0.995437;0.994907;0.993975;0.994668;0.995377;0.995030;0.995616;0.995440;0.996212;0.996858;0.996838;0.996154;0.997627;0.996370;0.996913;0.996437;0.996831;0.997175;0.996335;0.997188;0.996721;0.996301;0.996009;0.996472;0.997461;0.997033;0.997033;0.997201;0.997678;0.997597;0.997530;0.997298;0.997260;0.997415;0.997688;0.997588;0.997417;0.997401;0.997628;0.997594;0.997558;0.997774;0.997683;0.997653;0.995468;0.996059;0.995967;0.995683;0.996215;0.994910;0.995974;0.995294;0.995843;0.995988;0.997611;0.997684;0.997150;0.997566;0.997763;0.997678;0.997717;0.997603;0.997631;0.997591;0.996765;0.997373;0.996774;0.997416;0.997070;0.997116;0.997271;0.997697;0.997551;0.997503;0.997445;0.997521;0.997478;0.997602;0.997485;0.997544;0.997622;0.997521;0.996539;0.996565;0.996571;0.996244;0.996737;0.996880;0.996668;0.996045;0.997568;0.997589;0.997533;0.997430;0.997508;0.997641;0.997533;0.997701;0.997548;0.997613;0.996017;0.995946;0.996730;0.995820;0.996371;0.996418;0.996746;0.996346;0.995820;0.996165;0.995519;0.996872;0.996133;0.996876;0.996221;0.997341;0.996699;0.996742;0.996224;0.996873;0.996628;0.995964;0.996497;0.996213;0.995874;0.996923;0.995826;0.996316;0.996282;0.995897;0.997108;0.997018;0.997046;0.997019;0.996962;0.997342;0.997050;0.997225;0.997036;0.997342;0.997044;0.997157;0.997071;0.996722;0.997379;0.997147;0.997141;0.997164;0.997134;0.997130;0.997343;0.997336;0.997324;0.997528;0.997050;0.997338;0.997645;0.997687;0.997520;0.997759;0.995813;0.995819;0.995834;0.995522;0.995196;0.997054;0.995523;0.995336;0.995326;0.995434;0.997312;0.997697;0.997531;0.997593;0.997472;0.997369;0.997422;0.997432;0.997386;0.997449;0.996547;0.996440;0.996452;0.996344;0.996271;0.996408;0.996523;0.996478;0.996525;0.996144;0.996807;0.996757;0.998287;0.996372;0.996709;0.996497;0.996716;0.996387;0.996870;0.996606;0.995953;0.996490;0.997623;0.995638;0.995726;0.995571;0.995380;0.996123;0.996398;0.995008;0.997448;0.997442;0.997549;0.997377;0.997214;0.997729;0.997030;0.997367;0.997422;0.997746;0.995193;0.995617;0.995721;0.994687;0.994305
ID10;0.993762;0.993199;0.993527;0.993810;0.995555;0.993453;0.992957;0.993869;0.995268;0.000000;0.997799;0.996180;0.998207;0.996182;0.997914;0.996332;0.997042;0.998300;0.997502;0.995721;0.994984;0.994651;0.995548;0.996029;0.995472;0.995610;0.995341;0.994914;0.995237;0.995760;0.996240;0.996573;0.996215;0.997072;0.996233;0.996929;0.996157;0.996996;0.996369;0.996276;0.996874;0.996392;0.995939;0.995714;0.996104;0.997349;0.996608;0.996636;0.997046;0.997539;0.997496;0.997430;0.997272;0.997152;0.997328;0.997588;0.997437;0.997210;0.997202;0.997577;0.997439;0.997398;0.997665;0.997530;0.997549;0.994960;0.996173;0.995262;0.995403;0.995852;0.995735;0.996135;0.996097;0.996216;0.996167;0.997544;0.997690;0.996814;0.997528;0.997749;0.997635;0.997666;0.997576;0.997571;0.997596;0.996436;0.997236;0.996550;0.997395;0.996895;0.996891;0.997074;0.997598;0.997462;0.997416;0.997390;0.997414;0.997445;0.997543;0.997361;0.997469;0.997525;0.997444;0.995788;0.996004;0.996190;0.995817;0.995914;0.996578;0.995506;0.995586;0.997504;0.997490;0.997458;0.997356;0.997352;0.997546;0.997498;0.997611;0.997477;0.997512;0.995856;0.995557;0.996227;0.995557;0.995874;0.996187;0.995867;0.995436;0.995105;0.995641;0.996190;0.996780;0.996363;0.996612;0.997115;0.997054;0.996519;0.996513;0.996176;0.996717;0.995992;0.995259;0.996346;0.995566;0.994984;0.996430;0.995813;0.995368;0.995724;0.995516;0.996645;0.996568;0.996597;0.996646;0.996608;0.996983;0.996513;0.996870;0.996664;0.996987;0.996697;0.996898;0.996706;0.996616;0.997192;0.996836;0.996879;0.996925;0.996842;0.996863;0.997308;0.997227;0.997276;0.997481;0.996996;0.997281;0.997603;0.997639;0.997449;0.997777;0.995091;0.995358;0.995105;0.994789;0.994423;0.996668;0.994763;0.994795;0.995003;0.995507;0.997072;0.997579;0.997428;0.997435;0.997300;0.997308;0.997332;0.997309;0.997202;0.997296;0.996560;0.995991;0.996109;0.995969;0.995522;0.995925;0.996128;0.996255;0.996192;0.995923;0.997105;0.996124;0.998317;0.996161;0.996481;0.996696;0.996167;0.996040;0.996696;0.996348;0.995261;0.996795;0.997279;0.994867;0.995101;0.994799;0.995251;0.996620;0.995942;0.994859;0.997294;0.997317;0.997417;0.997199;0.997003;0.997583;0.996679;0.997200;0.997271;0.997637;0.994836;0.995833;0.995916;0.992750;0.995102
