;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99;ID100;ID101;ID102;ID103;ID104;ID105;ID106;ID107;ID108;ID109;ID110;ID111;ID112;ID113;ID114;ID115;ID116;ID117;ID118;ID119;ID120;ID121;ID122;ID123;ID124;ID125;ID126;ID127;ID128;ID129;ID130;ID131;ID132;ID133;ID134;ID135;ID136;ID137;ID138;ID139;ID140;ID141;ID142;ID143;ID144;ID145;ID146;ID147;ID148;ID149;ID150;ID151;ID152;ID153;ID154;ID155;ID156;ID157;ID158;ID159;ID160;ID161;ID162;ID163;ID164;ID165;ID166;ID167;ID168;ID169;ID170;ID171;ID172;ID173;ID174;ID175;ID176;ID177;ID178;ID179;ID180;ID181;ID182;ID183;ID184;ID185;ID186;ID187;ID188;ID189;ID190;ID191;ID192;ID193;ID194;ID195;ID196;ID197;ID198;ID199;ID200;ID201;ID202;ID203;ID204;ID205;ID206;ID207;ID208;ID209;ID210;ID211;ID212;ID213;ID214;ID215;ID216;ID217;ID218;ID219;ID220;ID221;ID222;ID223;ID224;ID225;ID226;ID227;ID228;ID229;ID230;ID231;ID232;ID233;ID234;ID235;ID236;ID237;ID238;ID239;ID240;ID241;ID242;ID243;ID244;ID245;ID246
ID1;0.000000;0.991737;0.992222;0.992431;0.998461;0.991288;0.991136;0.993482;0.997249;0.996871;0.998967;0.997841;0.999291;0.997621;0.998982;0.998227;0.998563;0.999187;0.998841;0.998060;0.997533;0.996396;0.996982;0.998225;0.997908;0.997385;0.996943;0.997316;0.997541;0.998482;0.998677;0.998694;0.998584;0.998755;0.998632;0.998820;0.998530;0.998977;0.998590;0.997124;0.998282;0.997938;0.997191;0.997314;0.997518;0.998526;0.998120;0.998058;0.998329;0.998790;0.998710;0.998589;0.998546;0.998390;0.998592;0.998744;0.998670;0.998635;0.998626;0.998774;0.998633;0.998614;0.998768;0.998747;0.998620;0.998021;0.998666;0.998058;0.998451;0.998630;0.998537;0.998614;0.998701;0.998789;0.998862;0.998817;0.998863;0.998458;0.998833;0.998880;0.998847;0.998823;0.998837;0.998847;0.998824;0.997528;0.998433;0.997042;0.998532;0.997723;0.997740;0.998196;0.998371;0.998800;0.998773;0.998723;0.998783;0.998746;0.998814;0.998754;0.998794;0.998810;0.998790;0.998463;0.998527;0.997465;0.996968;0.998508;0.997882;0.998200;0.997314;0.998768;0.998794;0.998775;0.998739;0.998757;0.998795;0.998774;0.998859;0.998783;0.998781;0.998595;0.997107;0.997354;0.996600;0.996704;0.996973;0.998704;0.997570;0.996003;0.997102;0.998574;0.998237;0.998338;0.997987;0.998837;0.998394;0.998041;0.998226;0.998199;0.998103;0.997424;0.997045;0.997730;0.997207;0.996790;0.998331;0.998134;0.997133;0.997833;0.997416;0.997534;0.997384;0.997353;0.997487;0.997197;0.997959;0.997600;0.997578;0.997484;0.997910;0.998510;0.998536;0.998505;0.998479;0.998505;0.998503;0.998478;0.998491;0.998514;0.998535;0.998604;0.998653;0.998676;0.998772;0.998540;0.998666;0.998841;0.998853;0.998791;0.998884;0.995978;0.995870;0.996509;0.995820;0.995562;0.998235;0.995851;0.995629;0.995880;0.997561;0.998582;0.998800;0.998640;0.998646;0.998596;0.998572;0.998719;0.998585;0.998635;0.998620;0.997942;0.997444;0.997203;0.997326;0.997206;0.997245;0.997613;0.997326;0.997375;0.997042;0.998400;0.997909;0.999144;0.997965;0.997589;0.998269;0.998079;0.997435;0.998447;0.997602;0.997903;0.998749;0.998653;0.995943;0.996210;0.996300;0.996305;0.998386;0.997578;0.997749;0.998315;0.998437;0.998570;0.998438;0.998296;0.998817;0.997828;0.998371;0.998542;0.998690;0.997974;0.998507;0.998629;0.995573;0.998318
ID2;0.991737;0.000000;0.991865;0.992338;0.998353;0.990992;0.989789;0.992744;0.996977;0.996588;0.998942;0.997650;0.999280;0.997384;0.998944;0.998112;0.998446;0.999173;0.998771;0.997824;0.997156;0.995749;0.996377;0.998068;0.997679;0.997092;0.996455;0.997003;0.997153;0.998313;0.998536;0.998520;0.998420;0.998662;0.998492;0.998692;0.998290;0.998871;0.998493;0.997666;0.998450;0.998073;0.997577;0.997567;0.997855;0.998648;0.998261;0.998262;0.998490;0.998933;0.998851;0.998767;0.998673;0.998547;0.998734;0.998823;0.998759;0.998739;0.998744;0.998870;0.998717;0.998730;0.998860;0.998839;0.998732;0.997751;0.998560;0.997872;0.998290;0.998569;0.998397;0.998510;0.998555;0.998687;0.998814;0.998934;0.998981;0.998598;0.998942;0.998981;0.998950;0.998976;0.998926;0.998945;0.998937;0.997868;0.998592;0.997566;0.998703;0.998034;0.998051;0.998367;0.998582;0.998902;0.998901;0.998861;0.998895;0.998895;0.998925;0.998884;0.998914;0.998923;0.998901;0.998272;0.998329;0.997352;0.996311;0.998371;0.997865;0.998097;0.997135;0.998926;0.998934;0.998896;0.998870;0.998866;0.998914;0.998896;0.998973;0.998894;0.998907;0.998498;0.996864;0.997531;0.995916;0.996600;0.997198;0.998630;0.997245;0.995731;0.996604;0.998508;0.998124;0.998230;0.997994;0.998789;0.998486;0.997962;0.998045;0.998172;0.997995;0.997327;0.996770;0.997561;0.996985;0.996468;0.998258;0.998058;0.996894;0.997762;0.997324;0.997633;0.997386;0.997432;0.997698;0.997242;0.998065;0.997645;0.997761;0.997555;0.998023;0.998588;0.998620;0.998530;0.998549;0.998637;0.998617;0.998593;0.998623;0.998606;0.998639;0.998746;0.998792;0.998780;0.998868;0.998693;0.998802;0.998964;0.998942;0.998909;0.998981;0.995985;0.995790;0.996201;0.995629;0.994985;0.998290;0.995308;0.994638;0.995116;0.997295;0.998701;0.998917;0.998752;0.998815;0.998729;0.998709;0.998835;0.998712;0.998776;0.998789;0.997735;0.997467;0.997362;0.997035;0.997060;0.997281;0.997482;0.997210;0.997142;0.996862;0.998258;0.997767;0.999201;0.997786;0.997330;0.998141;0.997871;0.997080;0.998309;0.997326;0.997717;0.998643;0.998720;0.995603;0.995578;0.995694;0.995750;0.998249;0.997388;0.997517;0.998487;0.998594;0.998711;0.998584;0.998467;0.998897;0.997978;0.998524;0.998672;0.998812;0.997795;0.998264;0.998496;0.995104;0.998135
ID3;0.992222;0.991865;0.000000;0.992348;0.998415;0.991063;0.991482;0.993567;0.997335;0.996753;0.998942;0.997742;0.999267;0.997494;0.998939;0.998175;0.998501;0.999147;0.998791;0.997974;0.997534;0.996237;0.996902;0.998197;0.997860;0.997497;0.996955;0.997282;0.997554;0.998387;0.998596;0.998609;0.998470;0.998695;0.998551;0.998736;0.998396;0.998954;0.998524;0.997251;0.998285;0.997964;0.997302;0.997350;0.997573;0.998534;0.998124;0.998095;0.998340;0.998821;0.998752;0.998649;0.998528;0.998399;0.998598;0.998762;0.998662;0.998640;0.998644;0.998783;0.998609;0.998618;0.998780;0.998752;0.998640;0.997913;0.998637;0.998041;0.998382;0.998617;0.998484;0.998579;0.998654;0.998771;0.998820;0.998839;0.998898;0.998480;0.998868;0.998900;0.998856;0.998874;0.998829;0.998867;0.998848;0.997521;0.998446;0.997105;0.998557;0.997786;0.997791;0.998205;0.998387;0.998817;0.998816;0.998756;0.998806;0.998797;0.998839;0.998790;0.998828;0.998852;0.998822;0.998364;0.998420;0.997326;0.996897;0.998418;0.997773;0.998084;0.997221;0.998818;0.998835;0.998803;0.998765;0.998773;0.998830;0.998812;0.998875;0.998801;0.998799;0.998561;0.997100;0.997306;0.996699;0.996678;0.997078;0.998649;0.997534;0.996045;0.997150;0.998496;0.998258;0.998316;0.998043;0.998822;0.998461;0.998063;0.998188;0.998207;0.998103;0.997331;0.996932;0.997685;0.997115;0.996661;0.998301;0.998085;0.997029;0.997770;0.997383;0.997492;0.997355;0.997272;0.997321;0.997209;0.997901;0.997536;0.997591;0.997435;0.997873;0.998516;0.998542;0.998464;0.998491;0.998544;0.998516;0.998483;0.998536;0.998552;0.998546;0.998645;0.998665;0.998679;0.998792;0.998564;0.998692;0.998865;0.998869;0.998786;0.998905;0.995866;0.995917;0.996449;0.995656;0.995534;0.998194;0.995795;0.995514;0.995883;0.997540;0.998618;0.998835;0.998644;0.998717;0.998600;0.998582;0.998740;0.998583;0.998664;0.998667;0.997910;0.997505;0.997244;0.997337;0.997160;0.997343;0.997627;0.997333;0.997366;0.997107;0.998359;0.997788;0.999166;0.997929;0.997540;0.998184;0.997949;0.997311;0.998378;0.997525;0.997854;0.998734;0.998670;0.995839;0.996083;0.996249;0.996311;0.998344;0.997551;0.997698;0.998321;0.998443;0.998592;0.998421;0.998277;0.998841;0.997763;0.998384;0.998557;0.998708;0.997886;0.998416;0.998577;0.995558;0.998264
ID4;0.992431;0.992338;0.992348;0.000000;0.998423;0.991459;0.991701;0.993977;0.997307;0.996895;0.998899;0.997676;0.999228;0.997373;0.998894;0.998103;0.998435;0.999106;0.998752;0.998024;0.997515;0.996449;0.997049;0.998273;0.997899;0.997482;0.997073;0.997298;0.997532;0.998361;0.998558;0.998590;0.998487;0.998644;0.998539;0.998720;0.998376;0.998882;0.998456;0.996978;0.998088;0.997771;0.997032;0.997206;0.997297;0.998338;0.997935;0.997879;0.998116;0.998618;0.998538;0.998414;0.998341;0.998195;0.998442;0.998572;0.998490;0.998472;0.998455;0.998579;0.998428;0.998448;0.998602;0.998579;0.998462;0.997817;0.998585;0.997998;0.998363;0.998544;0.998483;0.998570;0.998625;0.998682;0.998768;0.998633;0.998725;0.998295;0.998683;0.998733;0.998688;0.998680;0.998682;0.998685;0.998667;0.997334;0.998236;0.996924;0.998382;0.997608;0.997559;0.997991;0.998207;0.998631;0.998622;0.998539;0.998627;0.998590;0.998648;0.998608;0.998653;0.998685;0.998632;0.998305;0.998321;0.997114;0.996976;0.998302;0.997516;0.997962;0.997022;0.998616;0.998649;0.998608;0.998560;0.998594;0.998648;0.998610;0.998676;0.998621;0.998598;0.998495;0.997118;0.997121;0.996671;0.996561;0.996863;0.998599;0.997456;0.995926;0.997100;0.998469;0.998178;0.998272;0.997920;0.998787;0.998288;0.997980;0.998129;0.998135;0.998043;0.997422;0.997162;0.997851;0.997298;0.996944;0.998379;0.998191;0.997251;0.997881;0.997524;0.997194;0.997140;0.997012;0.997085;0.996954;0.997655;0.997222;0.997354;0.997142;0.997629;0.998334;0.998340;0.998338;0.998332;0.998334;0.998316;0.998291;0.998314;0.998346;0.998342;0.998416;0.998479;0.998487;0.998599;0.998363;0.998501;0.998677;0.998683;0.998627;0.998729;0.995880;0.995978;0.996492;0.995874;0.995932;0.998065;0.995981;0.995943;0.996264;0.997604;0.998395;0.998660;0.998456;0.998524;0.998438;0.998391;0.998556;0.998375;0.998466;0.998471;0.997944;0.997400;0.997132;0.997294;0.997009;0.997207;0.997507;0.997270;0.997379;0.996977;0.998349;0.997742;0.999078;0.997881;0.997542;0.998134;0.997979;0.997371;0.998406;0.997508;0.997847;0.998690;0.998529;0.996063;0.996380;0.996414;0.996462;0.998407;0.997608;0.997791;0.998107;0.998249;0.998405;0.998184;0.998068;0.998699;0.997554;0.998133;0.998359;0.998547;0.997912;0.998388;0.998546;0.995705;0.998289
ID5;0.998461;0.998353;0.998415;0.998423;0.000000;0.998389;0.998381;0.998199;0.997689;0.997773;0.998944;0.998495;0.999115;0.998671;0.999062;0.998495;0.998812;0.999252;0.998956;0.998128;0.997976;0.998052;0.998142;0.997847;0.997870;0.998098;0.998014;0.998008;0.998000;0.998134;0.998558;0.998588;0.998406;0.998751;0.998382;0.998612;0.998418;0.998622;0.998526;0.998642;0.998759;0.998615;0.998570;0.998468;0.998552;0.998827;0.998697;0.998721;0.998854;0.999006;0.998979;0.999001;0.998871;0.998859;0.998913;0.998932;0.998930;0.998708;0.998752;0.998977;0.998902;0.998927;0.999043;0.998947;0.998956;0.997945;0.998295;0.997996;0.997896;0.998204;0.997993;0.998151;0.998035;0.998220;0.998158;0.998979;0.999016;0.998722;0.998926;0.998999;0.999006;0.999050;0.998949;0.998935;0.998987;0.998643;0.998821;0.998768;0.998890;0.998798;0.998828;0.998816;0.999083;0.998896;0.998891;0.998818;0.998829;0.998828;0.998921;0.998855;0.998886;0.998908;0.998902;0.998296;0.998426;0.998694;0.998552;0.998412;0.998692;0.998416;0.998462;0.998919;0.998926;0.998903;0.998832;0.998782;0.998925;0.998842;0.998975;0.998949;0.998945;0.998146;0.998347;0.998639;0.998431;0.998548;0.998633;0.998153;0.998330;0.998418;0.998428;0.998290;0.998673;0.998357;0.998713;0.998601;0.998828;0.998510;0.998589;0.998226;0.998742;0.998371;0.998197;0.998377;0.998185;0.998117;0.998477;0.998184;0.998311;0.998270;0.998198;0.998823;0.998788;0.998792;0.998793;0.998895;0.998882;0.998671;0.998924;0.998823;0.998819;0.998633;0.998703;0.998658;0.998528;0.998887;0.998693;0.998717;0.998697;0.998700;0.998639;0.998877;0.998806;0.998799;0.998849;0.998623;0.998842;0.998840;0.998963;0.998788;0.999046;0.998340;0.998410;0.998300;0.998185;0.998074;0.998637;0.998180;0.998196;0.998207;0.998065;0.998819;0.999005;0.998944;0.998958;0.998883;0.998904;0.998909;0.998879;0.998875;0.998897;0.998658;0.998526;0.998629;0.998501;0.998337;0.998565;0.998575;0.998656;0.998629;0.998525;0.998693;0.998533;0.999288;0.998446;0.998685;0.998567;0.998402;0.998458;0.998616;0.998626;0.998059;0.998416;0.998854;0.998178;0.998225;0.998138;0.998240;0.998399;0.998360;0.997620;0.998945;0.998888;0.998959;0.998831;0.998737;0.998834;0.998729;0.998890;0.998915;0.999045;0.998041;0.998170;0.998190;0.997983;0.997743
ID6;0.991288;0.990992;0.991063;0.991459;0.998389;0.000000;0.990459;0.992885;0.997094;0.996716;0.998952;0.997829;0.999279;0.997551;0.998948;0.998221;0.998479;0.999135;0.998782;0.997969;0.997502;0.996135;0.996865;0.998118;0.997809;0.997393;0.996820;0.997239;0.997469;0.998407;0.998637;0.998644;0.998486;0.998742;0.998564;0.998771;0.998419;0.998920;0.998572;0.996894;0.998287;0.997891;0.997023;0.997181;0.997392;0.998528;0.998145;0.998062;0.998331;0.998855;0.998788;0.998610;0.998536;0.998385;0.998617;0.998762;0.998665;0.998653;0.998676;0.998796;0.998610;0.998636;0.998793;0.998758;0.998597;0.997934;0.998625;0.997963;0.998357;0.998576;0.998453;0.998560;0.998632;0.998721;0.998801;0.998862;0.998905;0.998539;0.998860;0.998919;0.998877;0.998914;0.998869;0.998869;0.998878;0.997315;0.998432;0.996770;0.998587;0.997659;0.997589;0.998172;0.998353;0.998832;0.998807;0.998779;0.998816;0.998822;0.998864;0.998809;0.998843;0.998869;0.998821;0.998386;0.998447;0.997261;0.996984;0.998481;0.997833;0.998208;0.997235;0.998832;0.998866;0.998829;0.998800;0.998806;0.998848;0.998822;0.998900;0.998818;0.998840;0.998497;0.996929;0.997246;0.996476;0.996471;0.996806;0.998665;0.997486;0.995617;0.997016;0.998483;0.998194;0.998238;0.997941;0.998767;0.998471;0.997966;0.998126;0.998211;0.997984;0.997194;0.996759;0.997493;0.997004;0.996508;0.998256;0.998010;0.996946;0.997677;0.997131;0.997360;0.997266;0.997167;0.997335;0.997088;0.997862;0.997470;0.997485;0.997343;0.997832;0.998542;0.998595;0.998477;0.998504;0.998526;0.998570;0.998532;0.998571;0.998593;0.998607;0.998640;0.998689;0.998710;0.998800;0.998572;0.998729;0.998895;0.998887;0.998827;0.998912;0.995668;0.995549;0.996327;0.995496;0.995269;0.998197;0.995505;0.995343;0.995645;0.997447;0.998620;0.998847;0.998637;0.998738;0.998621;0.998569;0.998760;0.998606;0.998676;0.998675;0.997787;0.997332;0.996981;0.997269;0.996985;0.997111;0.997509;0.997181;0.997280;0.996816;0.998318;0.997888;0.999189;0.997981;0.997562;0.998213;0.997964;0.997261;0.998398;0.997478;0.997754;0.998702;0.998695;0.995558;0.996009;0.996171;0.996185;0.998291;0.997490;0.997587;0.998274;0.998400;0.998595;0.998430;0.998243;0.998855;0.997698;0.998348;0.998581;0.998735;0.997893;0.998419;0.998572;0.995334;0.998216
ID7;0.991136;0.989789;0.991482;0.991701;0.998381;0.990459;0.000000;0.993110;0.996950;0.996466;0.998936;0.997509;0.999272;0.997254;0.998895;0.998042;0.998386;0.999168;0.998738;0.997784;0.997113;0.995738;0.996387;0.998190;0.997736;0.997004;0.996539;0.996907;0.996956;0.998188;0.998342;0.998380;0.998337;0.998588;0.998364;0.998614;0.998126;0.998802;0.998402;0.996878;0.998312;0.997866;0.996900;0.996914;0.997360;0.998590;0.998140;0.998021;0.998344;0.998873;0.998799;0.998652;0.998577;0.998425;0.998649;0.998817;0.998679;0.998683;0.998717;0.998845;0.998644;0.998655;0.998835;0.998804;0.998653;0.997584;0.998474;0.997840;0.998259;0.998511;0.998368;0.998490;0.998604;0.998676;0.998799;0.998914;0.998960;0.998509;0.998904;0.998959;0.998926;0.998919;0.998918;0.998916;0.998900;0.997477;0.998517;0.996963;0.998661;0.997717;0.997742;0.998232;0.998399;0.998895;0.998884;0.998831;0.998886;0.998867;0.998919;0.998859;0.998890;0.998910;0.998865;0.998095;0.998180;0.997128;0.996271;0.998200;0.997824;0.997811;0.997024;0.998887;0.998903;0.998875;0.998829;0.998839;0.998901;0.998893;0.998969;0.998899;0.998869;0.998488;0.996545;0.997226;0.995525;0.996268;0.996570;0.998583;0.997028;0.995125;0.996354;0.998492;0.997996;0.998187;0.997732;0.998810;0.998336;0.997802;0.997946;0.998093;0.997802;0.997355;0.996996;0.997618;0.997136;0.996672;0.998336;0.998134;0.997059;0.997756;0.997366;0.997433;0.997171;0.997289;0.997391;0.996905;0.997920;0.997533;0.997372;0.997332;0.997901;0.998543;0.998597;0.998479;0.998495;0.998554;0.998551;0.998533;0.998587;0.998575;0.998607;0.998688;0.998732;0.998728;0.998854;0.998607;0.998766;0.998955;0.998927;0.998878;0.998974;0.995876;0.995746;0.996090;0.995541;0.995056;0.998310;0.995340;0.994832;0.995258;0.997222;0.998628;0.998881;0.998689;0.998748;0.998660;0.998617;0.998789;0.998631;0.998699;0.998695;0.997617;0.997146;0.996840;0.996741;0.996704;0.996822;0.997177;0.996749;0.996906;0.996295;0.998322;0.997691;0.999166;0.997710;0.997348;0.998104;0.997915;0.997175;0.998283;0.997394;0.997713;0.998661;0.998726;0.995715;0.995618;0.995721;0.995660;0.998298;0.997491;0.997629;0.998374;0.998519;0.998632;0.998480;0.998307;0.998900;0.997845;0.998423;0.998569;0.998768;0.997657;0.998132;0.998393;0.994894;0.998141
ID8;0.993482;0.992744;0.993567;0.993977;0.998199;0.992885;0.993110;0.000000;0.997220;0.996925;0.998936;0.997911;0.999206;0.997813;0.998954;0.998190;0.998482;0.999136;0.998767;0.997944;0.997559;0.996612;0.997068;0.997914;0.997659;0.997465;0.996982;0.997290;0.997586;0.998321;0.998551;0.998613;0.998418;0.998688;0.998478;0.998699;0.998447;0.998811;0.998530;0.997506;0.998358;0.997998;0.997479;0.997506;0.997754;0.998524;0.998205;0.998177;0.998411;0.998781;0.998717;0.998632;0.998551;0.998425;0.998591;0.998718;0.998627;0.998606;0.998603;0.998746;0.998604;0.998612;0.998762;0.998712;0.998644;0.997872;0.998474;0.997946;0.998164;0.998419;0.998223;0.998397;0.998408;0.998538;0.998605;0.998786;0.998834;0.998466;0.998780;0.998845;0.998814;0.998833;0.998785;0.998791;0.998792;0.997781;0.998479;0.997506;0.998572;0.997990;0.998007;0.998312;0.998497;0.998777;0.998742;0.998709;0.998756;0.998756;0.998798;0.998743;0.998786;0.998805;0.998764;0.998325;0.998402;0.997665;0.997243;0.998404;0.998010;0.998147;0.997491;0.998770;0.998788;0.998760;0.998709;0.998725;0.998786;0.998747;0.998845;0.998767;0.998775;0.998365;0.997242;0.997642;0.997024;0.997083;0.997383;0.998513;0.997689;0.996599;0.997333;0.998259;0.998237;0.998170;0.998085;0.998577;0.998446;0.998063;0.998142;0.998131;0.998140;0.997476;0.997067;0.997702;0.997219;0.996859;0.998213;0.997908;0.997215;0.997711;0.997406;0.997750;0.997668;0.997690;0.997732;0.997588;0.998112;0.997834;0.997849;0.997750;0.998110;0.998459;0.998498;0.998441;0.998404;0.998533;0.998483;0.998489;0.998494;0.998512;0.998517;0.998605;0.998625;0.998611;0.998726;0.998507;0.998626;0.998820;0.998817;0.998744;0.998849;0.996476;0.996418;0.996851;0.996264;0.996060;0.998230;0.996228;0.996167;0.996350;0.997454;0.998557;0.998806;0.998654;0.998697;0.998608;0.998570;0.998700;0.998574;0.998631;0.998636;0.997964;0.997644;0.997405;0.997555;0.997397;0.997507;0.997770;0.997547;0.997605;0.997313;0.998357;0.997993;0.999152;0.998019;0.997750;0.998211;0.998076;0.997513;0.998382;0.997712;0.997779;0.998594;0.998652;0.996335;0.996557;0.996657;0.996706;0.998231;0.997656;0.997514;0.998413;0.998486;0.998615;0.998462;0.998361;0.998790;0.997982;0.998421;0.998575;0.998733;0.997865;0.998348;0.998459;0.995855;0.997941
ID9;0.997249;0.996977;0.997335;0.997307;0.997689;0.997094;0.996950;0.997220;0.000000;0.997628;0.999017;0.998351;0.999223;0.998418;0.999033;0.998354;0.998598;0.999188;0.998833;0.997757;0.997915;0.997713;0.997447;0.996979;0.997327;0.997683;0.997509;0.997803;0.997715;0.998103;0.998427;0.998417;0.998073;0.998812;0.998182;0.998454;0.998215;0.998413;0.998585;0.998164;0.998592;0.998358;0.998147;0.998000;0.998233;0.998729;0.998515;0.998514;0.998599;0.998838;0.998797;0.998763;0.998647;0.998628;0.998706;0.998843;0.998793;0.998707;0.998699;0.998812;0.998796;0.998778;0.998886;0.998840;0.998825;0.997729;0.998026;0.997979;0.997837;0.998104;0.997449;0.997983;0.997642;0.997917;0.997990;0.998804;0.998841;0.998573;0.998782;0.998880;0.998837;0.998857;0.998800;0.998814;0.998794;0.998380;0.998685;0.998384;0.998706;0.998533;0.998556;0.998634;0.998847;0.998774;0.998750;0.998721;0.998759;0.998737;0.998800;0.998741;0.998771;0.998809;0.998759;0.998267;0.998280;0.998283;0.998118;0.998366;0.998438;0.998331;0.998019;0.998782;0.998793;0.998765;0.998714;0.998752;0.998819;0.998765;0.998849;0.998772;0.998805;0.998005;0.997969;0.998362;0.997906;0.998182;0.998206;0.998370;0.998170;0.997906;0.998079;0.997754;0.998434;0.998063;0.998435;0.998107;0.998669;0.998347;0.998369;0.998108;0.998434;0.998311;0.997978;0.998245;0.998103;0.997933;0.998459;0.997908;0.998155;0.998137;0.997944;0.998552;0.998507;0.998521;0.998507;0.998479;0.998669;0.998523;0.998611;0.998516;0.998669;0.998520;0.998577;0.998533;0.998358;0.998688;0.998571;0.998568;0.998580;0.998565;0.998563;0.998670;0.998666;0.998660;0.998762;0.998523;0.998667;0.998821;0.998842;0.998759;0.998878;0.997902;0.997905;0.997913;0.997756;0.997592;0.998525;0.997757;0.997663;0.997657;0.997712;0.998654;0.998847;0.998764;0.998795;0.998734;0.998683;0.998709;0.998714;0.998691;0.998723;0.998271;0.998217;0.998223;0.998168;0.998132;0.998201;0.998259;0.998236;0.998260;0.998068;0.998401;0.998376;0.999143;0.998183;0.998352;0.998246;0.998355;0.998190;0.998432;0.998300;0.997972;0.998242;0.998810;0.997814;0.997858;0.997781;0.997685;0.998058;0.998196;0.997498;0.998722;0.998720;0.998773;0.998687;0.998605;0.998863;0.998513;0.998682;0.998709;0.998872;0.997591;0.997804;0.997856;0.997336;0.997144
ID10;0.996871;0.996588;0.996753;0.996895;0.997773;0.996716;0.996466;0.996925;0.997628;0.000000;0.998898;0.998087;0.999103;0.998087;0.998956;0.998163;0.998519;0.999149;0.998749;0.997856;0.997486;0.997318;0.997769;0.998011;0.997731;0.997800;0.997665;0.997450;0.997613;0.997875;0.998117;0.998283;0.998104;0.998534;0.998113;0.998462;0.998075;0.998496;0.998181;0.998134;0.998435;0.998193;0.997966;0.997852;0.998048;0.998673;0.998301;0.998315;0.998521;0.998768;0.998747;0.998714;0.998634;0.998574;0.998662;0.998792;0.998717;0.998603;0.998599;0.998787;0.998718;0.998697;0.998831;0.998763;0.998773;0.997474;0.998083;0.997625;0.997696;0.997922;0.997863;0.998064;0.998044;0.998104;0.998080;0.998771;0.998843;0.998405;0.998763;0.998873;0.998816;0.998832;0.998786;0.998784;0.998796;0.998215;0.998616;0.998272;0.998696;0.998445;0.998443;0.998535;0.998797;0.998729;0.998706;0.998693;0.998706;0.998721;0.998770;0.998679;0.998733;0.998761;0.998720;0.997890;0.997998;0.998091;0.997904;0.997953;0.998286;0.997748;0.997788;0.998750;0.998744;0.998727;0.998676;0.998674;0.998771;0.998748;0.998804;0.998737;0.998755;0.997924;0.997774;0.998110;0.997773;0.997933;0.998090;0.997929;0.997713;0.997547;0.997816;0.998091;0.998388;0.998178;0.998303;0.998556;0.998525;0.998257;0.998253;0.998084;0.998356;0.997992;0.997624;0.998170;0.997778;0.997486;0.998212;0.997902;0.997679;0.997858;0.997753;0.998320;0.998281;0.998296;0.998320;0.998301;0.998489;0.998254;0.998433;0.998329;0.998491;0.998346;0.998447;0.998350;0.998305;0.998594;0.998415;0.998437;0.998460;0.998418;0.998429;0.998652;0.998612;0.998636;0.998739;0.998496;0.998639;0.998800;0.998818;0.998723;0.998887;0.997540;0.997674;0.997546;0.997387;0.997203;0.998331;0.997375;0.997391;0.997495;0.997748;0.998534;0.998788;0.998712;0.998716;0.998648;0.998652;0.998664;0.998653;0.998599;0.998646;0.998277;0.997991;0.998050;0.997980;0.997756;0.997958;0.998060;0.998124;0.998092;0.997957;0.998551;0.998058;0.999158;0.998077;0.998237;0.998345;0.998080;0.998016;0.998345;0.998171;0.997625;0.998395;0.998638;0.997427;0.997545;0.997393;0.997620;0.998307;0.997967;0.997423;0.998645;0.998657;0.998707;0.998597;0.998499;0.998790;0.998337;0.998598;0.998634;0.998817;0.997411;0.997912;0.997954;0.996362;0.997545
