"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta","PD_Alpha","PD_Beta","PD_Gamma"
"ABBY",51,7.7424,1.3703,0.6614,170.83,119.559,290.389
"BART",38,8.4874,1.2095,0.5494,251.2544,123.4513,374.7056
"BLAN",69,20.5619,1.0799,0.8984,109.8581,117.236,227.0941
"BONA",34,6.2171,1.3478,0.752,268.5697,110.6854,379.255
"CLBJ",59,8.3545,1.2796,0.8369,155.3907,95.2798,250.6705
"CPER",38,12.6151,1.1412,0.8939,109.4586,62.2355,171.694
"DEJU",38,7.9889,1.3108,0.7605,232.2133,131.3425,363.5557
"DELA",93,22.5754,1.0727,0.8331,179.5803,54.6808,234.2611
"DSNY",105,21.456,1.0919,0.9652,133.9799,209.4098,343.3897
"GRSM",73,22.6548,1.0774,0.7309,264.3083,58.8908,323.1991
"GUAN",98,27.626,1.0707,0.8098,182.3935,35.9299,218.3234
"HARV",76,13.712,1.1347,0.6328,297.0135,64.3575,361.371
"HEAL",33,11.4,1.1258,0.8258,180.6509,130.9893,311.6401
"JERC",109,26.5121,1.0913,0.976,108.0586,260.1281,368.1867
"JORN",17,1.6136,5.3576,0.2916,36.3429,8.2706,44.6135
"KONZ",24,8.7076,1.2204,0.9674,219.222,16.4651,235.6872
"LAJA",22,9.8057,1.1548,0.923,134.1045,39.1618,173.2663
"LENO",71,15.48,1.1031,0.6632,170.0718,25.5934,195.6652
"MLBS",74,17.9584,1.1129,0.6609,221.836,39.3962,261.2322
"MOAB",30,6.7555,1.2857,0.8678,131.5676,260.5554,392.123
"NIWO",42,7.1508,1.2356,0.8282,77.3928,42.6071,119.9998
"ONAQ",31,4.2783,1.7285,0.7679,113.2828,209.7003,322.9831
"ORNL",98,26.4843,1.063,0.8966,210.2587,101.6255,311.8843
"OSBS",80,19.4727,1.1032,0.9206,168.1946,218.8972,387.0918
"PUUM",52,5.9532,1.6061,0.4436,139.1722,52.7876,191.9599
"RMNP",40,8.4393,1.18,0.7347,148.2182,94.289,242.5072
"SCBI",88,27.9957,1.055,0.9072,172.4345,61.2299,233.6644
"SERC",76,13.5601,1.1481,0.7478,168.0003,52.1791,220.1794
"SJER",51,15.8893,1.1274,0.9279,157.923,131.0774,289.0004
"SOAP",47,10.8893,1.1535,0.7888,232.8034,153.4662,386.2696
"SRER",66,7.2585,1.4483,0.6695,129.914,20.0347,149.9488
"STEI",54,9.8575,1.2515,0.6664,155.781,57.4244,213.2054
"TALL",85,17.3643,1.0885,0.7777,273.8108,96.7351,370.5459
"TEAK",36,10.3634,1.177,0.8091,141.4675,60.432,201.8995
"TREE",53,13.8673,1.1176,0.8569,194.7725,193.7672,388.5398
"UKFS",59,15.9308,1.106,0.8167,163.8996,41.1121,205.0116
"UNDE",60,12.4706,1.1376,0.8953,187.4053,158.6767,346.0819
"WOOD",20,9.5369,1.1745,0.944,75.708,76.4854,152.1934
"WREF",32,6.6137,1.3073,0.6121,155.2156,132.5913,287.8069
"YELL",59,6.7807,1.4669,0.8299,87.7409,181.2379,268.9789
