"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta","PD_Alpha","PD_Beta","PD_Gamma"
"ABBY",50,3.495,2.2229,0.6364,87.7339,222.3832,310.1171
"BART",30,7.5774,1.2398,0.7166,194.8359,180.2558,375.0917
"BLAN",65,20.507,1.0878,0.937,93.2576,123.1992,216.4568
"BONA",30,5.4584,1.4344,0.769,217.0348,138.6453,355.6801
"CLBJ",54,6.7498,1.3906,0.8659,113.576,77.5464,191.1224
"CPER",38,12.9013,1.1353,0.8932,109.9185,60.5563,170.4749
"DEJU",34,8.4374,1.2613,0.8036,233.9947,129.4748,363.4696
"DELA",74,16.4839,1.0929,0.9094,117.1241,155.0313,272.1554
"DSNY",100,19.7017,1.107,0.9622,135.6617,181.9455,317.6073
"GRSM",60,16.6185,1.1266,0.8321,207.008,65.7843,272.7923
"GUAN",57,18.6525,1.1065,0.8586,147.848,64.3157,212.1637
"HARV",60,9.082,1.2169,0.7201,222.8401,139.201,362.0411
"HEAL",26,10.8998,1.1337,0.8559,160.6532,128.9097,289.5629
"JERC",87,19.9396,1.138,0.97,92.4411,295.7888,388.2299
"JORN",17,1.5744,5.5779,0.2721,34.4095,9.4851,43.8947
"KONZ",19,6.7059,1.3402,0.9641,189.0351,15.4926,204.5277
"LAJA",13,6.8321,1.2212,0.92,90.7252,28.7435,119.4687
"LENO",61,12.2693,1.1182,0.8648,87.7972,58.4791,146.2763
"MLBS",65,13.7188,1.1697,0.7475,199.7632,94.6048,294.368
"MOAB",29,7.2105,1.2692,0.8706,124.1841,266.9182,391.1023
"NIWO",42,8.1439,1.2233,0.8256,77.9167,103.7232,181.6399
"ONAQ",30,3.8589,1.7971,0.7807,83.1981,228.9916,312.1897
"ORNL",87,28.3578,1.0511,0.9397,178.8097,187.9068,366.7165
"OSBS",68,17.4027,1.1218,0.9369,137.7913,258.5908,396.3821
"PUUM",39,2.9881,2.546,0.4525,83.2384,52.7164,135.9548
"RMNP",34,8.3477,1.1936,0.749,116.8517,139.0659,255.9175
"SCBI",85,20.1276,1.1007,0.9183,131.1231,98.108,229.2311
"SERC",67,8.9519,1.2726,0.8137,114.7679,87.7613,202.5292
"SJER",46,22.0214,1.0635,0.9344,152.5793,148.5791,301.1584
"SOAP",42,10.0937,1.1711,0.7872,203.2107,187.9688,391.1796
"SRER",65,7.1563,1.4525,0.6735,122.6926,28.1977,150.8903
"STEI",44,6.5287,1.3875,0.7309,115.4492,61.8123,177.2615
"TALL",73,11.2,1.1508,0.8014,221.6298,158.6993,380.3291
"TEAK",34,10.0403,1.1918,0.8492,106.1322,131.2243,237.3566
"TREE",46,11.5429,1.1495,0.8965,152.5918,227.9469,380.5388
"UKFS",53,15.5708,1.102,0.8763,140.1233,85.5128,225.636
"UNDE",43,8.9155,1.2095,0.9287,125.376,171.9015,297.2775
"WOOD",20,9.5369,1.1745,0.944,75.708,76.4854,152.1934
"WREF",29,4.3508,1.4992,0.664,120.275,110.8115,231.0865
"YELL",58,7.6918,1.3763,0.8516,80.6113,218.5349,299.1461
